transect_id,sample,sampling_date,season,CSI_transect,NCDOT_transect,origin,MOM_log_mean,MOM_log_sort,MOM_log_skew,MOM_log_kurt,FW_phi_mean,FW_phi_sort,FW_phi_skew,FW_phi_kurt,description,%vc_gravel,%c_gravel,%m_gravel,%f_gravel,%vf_gravel,%vc_sand,%c_sand,%m_sand,%f_sand,%vf_sand,
apr2012_C05N,S2,2012-04-17,spring,C05,NT62,NCDOT,0.47,1.18,-0.41,2.14,0.1,1.38,-0.19,0.46,Coarse Sand,0.0,0.0,0.0,0.160372743,0.119466775,0.12036108300000000,0.193580742,0.345035105,0.060683879,0.0004996720000000000,
apr2012_C05N,S3,2012-04-17,spring,C05,NT62,NCDOT,1.68,0.46,-0.15,6.16,1.7,0.52,0.16,0.91,Medium Sand,0.0,0.0,0.0,0.0022094530000000000,0.000802595,0.0010040160000000000,0.041164659,0.701807229,0.251511529,0.00150052,
apr2012_C05N,S4,2012-04-17,spring,C05,NT62,NCDOT,1.55,0.38,0.68,7.46,1.53,0.44,0.08,1.07,Medium Sand,0.0,0.0,0.0,0.0,0.0,0.0010040160000000000,0.064257028,0.8263052210000000,0.10293183,0.005501905,
apr2012_C03N,S1,2012-04-17,spring,C03,NT63,NCDOT,0.09,1.13,0.25,2.43,-0.09,1.31,0.06,0.91,Very Coarse Sand,0.0,0.0,0.0,0.10150990900000000,0.131890494,0.278672032,0.282696177,0.134808853,0.070422535,0.0,
apr2012_C03N,S2,2012-04-17,spring,C03,NT63,NCDOT,0.62,1.15,-0.51,2.36,0.48,1.37,-0.3,0.86,Coarse Sand,0.0,0.0,0.0,0.082918242,0.090602319,0.140421264,0.24373119400000000,0.35707121400000000,0.08425642400000000,0.000999343,
apr2012_C03N,S3,2012-04-17,spring,C03,NT63,NCDOT,1.7,0.57,0.62,4.0,1.72,0.63,0.23,1.19,Medium Sand,0.0,0.0,0.0,0.0,0.0,0.002004008,0.063126253,0.693386774,0.200550955,0.040932011000000000,
apr2012_C03N,S4,2012-04-17,spring,C03,NT63,NCDOT,1.42,0.59,-0.18,5.11,1.39,0.61,0.02,1.06,Medium Sand,0.0,0.0,0.0,0.00040405800000000000,0.00161004,0.007049345,0.2306143,0.626384693,0.121897139,0.012040424,
apr2012_C01N,S1,2012-04-17,spring,C01,NT64,NCDOT,0.88,1.19,-0.58,2.41,0.87,1.36,-0.29,0.99,Coarse Sand,0.0,0.0,0.0,0.040653693,0.06587897,0.142713568,0.218090452,0.33768844200000000,0.19447419800000000,0.000500676,
apr2012_C01N,S2,2012-04-17,spring,C01,NT64,NCDOT,1.15,0.89,-0.96,3.9,1.15,0.98,-0.29,1.27,Medium Sand,0.0,0.0,0.0,0.032047421,0.020004631000000000,0.071071071,0.227227227,0.50950951,0.139641469,0.000498671,
apr2012_C01N,S3,2012-04-17,spring,C01,NT64,NCDOT,1.62,0.65,-0.78,4.67,1.67,0.68,-0.02,0.91,Medium Sand,0.0,0.0,0.0,0.001614763,0.002417495,0.009072581,0.147177419,0.524193548,0.312008863,0.00351533,
